,Table 1: Commuting Trip Volume by Number of ,,,,,,,,,,
,        ,       Intermediary Stops During Morning and ,,,,,,,,,
,,       Afternoon Peak Period,,,,,,,,,
,,,,,,,,,,,
,,-,-,-,-,,,,,,
,,,,Person Trips,,,,,,,
,,-,-,-,-,,,,,,
,,,,,,,,,,,
,,Home to Work,,,,,,,,,
,,,,,,,,,,,
,,No stop,,245928,,,,,,,
,,1 Stop,,35646,,,,,,,
,,2 Stops,,6258,,,,,,,
,,Total,,287832,,,,,,,
,,,,,,,,,,,
,,Work to Home,,,,,,,,,
,,,,,,,,,,,
,,No stop,,187447,,,,,,,
,,1 Stop,,57022,,,,,,,
,,2 Stops,,18249,,,,,,,
,,3+ Stops,,8397,,,,,,,
,,Total,,271115,,,,,,,
,,,,,,,,,,,
,,-,-,-,-,,,,,,
,,,,,,,,,,,
,,Data Source: 1987-88 Metr. Wash. Council of Govts.,,,,,,,,,
,,,,,,,,,,,
,,"Table 2: Proportion of Unlinked and Linked Trips,",,,,,,,,,
,,,"by Number of Intermediary Stops, During the",,,,,,,,
,,,"Journey to/from Work, by Mode and Sex (1988)",,,,,,,,
,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,
,|,     Morning Commute (H-->W),,,,|,     Afternoon Commute (W-->H),,,,
,|,     Transit,,     Automobile,,|,     Transit,,     Automobile,,
,|,,,,,|,,,,,
,|,Male,Female,Male,Female,|,Male,Female,Male,Female,
-,|,-,-,-,-,-,-,-,-,-,
,|,,,,,|,,,,,
INSIDE BELTWAY,,,,,,|,,,,,
,|,,,,,|,,,,,
Unlink,|,100,100,86.5,83.6,|,87.7,86.7,77.7,66.2,
1 Stop,|,,,11,14,|,12.3,10.3,15.1,23.2,
2 Stop,|,,,2.5,2.4,|,,,4,5.3,
3+ Stop,|,,,,,|,,,3.2,5.3,
,|,,,,,|,,,,,
OUTSIDE BELTWAY,,,,,,|,,,,,
,|,,,,,|,,,,,
Unlink,|,100,100,84.8,81.2,|,85,81.1,76.6,63.1,
1 Stop,|,,,13.1,16.8,|,11.4,9.3,17,26.1,
2 Stop,|,,,2.1,2,|,3.6,9.6,5.1,7.4,
3+ Stop,|,,,,,|,,,1.2,3.4,
,|,,,,,|,,,,,
"RURAL ""WEDGE""",,,,,,|,,,,,
,|,,,,,|,,,,,
Unlink,|,100,100,82.8,100,|,63.3,53.9,69.7,60.5,
1 Stop,|,,,17.2,,|,36.7,46.1,19.3,21.9,
2 Stop,|,,,,,|,,,7.5,14.1,
3+ Stop,|,,,,,|,,,3.5,3.4,
,|,,,,,|,,,,,
-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
Data Source: 1987-88 Metr. Wash. Council of Govts.,,,,,,,,,,,
,,,,,,,,,,,
,,,Table 3: Percetage of Activities Pursued ,,,,,,,,
,,,,on the Linked Work Trips,,,,,,,
,,,,,,,,,,,
,,-,-,-,-,-,-,-,,,
,,Trip Purpose,,,H-->W,,W-->H,,,,
,,,,,,,,,,,
,,-,-,-,-,-,-,-,,,
,,,,,,,,,,,
,,INSIDE BELTWAY,,,,,,,,,
,,,,,,,,,,,
,,Shop,,,7.5,,20.3,,,,
,,Serve Passenger,,,54,,21.1,,,,
,,School,,,14.5,,5.3,,,,
,,Other,,,24,,53.4,,,,
,,,,,,,,,,,
,,OUTSIDE BELTWAY,,,,,,,,,
,,,,,,,,,,,
,,Shop,,,5.8,,35.9,,,,
,,Serve Passenger,,,57.7,,18.5,,,,
,,School,,,18.4,,3.2,,,,
,,Other,,,18.1,,42.3,,,,
,,,,,,,,,,,
,,"RURAL ""WEDGE""",,,,,,,,,
,,,,,,,,,,,
,,Shop,,,-,,37.4,,,,
,,Serve Passenger,,,63.3,,17.9,,,,
,,School,,,14,,6.7,,,,
,,Other,,,22.7,,38,,,,
,,,,,,,,,,,
,,-,-,-,-,-,-,-,,,
,,,,,,,,,,,
,,Data Source: 1987-88 Metr. Wash. Council of Govts.,,,,,,,,,
,,,,,,,,,,,
,,Table 4: Percentage of Trips by Duration of Stop-Time,,,,,,,,,
,,,at Intermediary Links from/to Work,,,,,,,,
,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,,,
,,,  Duration of Stop Time,,,,,,,,
Trip Purpose,,,0-5,6-15,16-30,,>30,,,,
-,-,-,-,-,-,-,-,-,,,
,,,,,,,,,,,
Serve Passenger,,,,,,,,,,,
,,,,,,,,,,,
H-->W,,,81,11.6,2.4,,4.7,,,,
W-->H,,,64.7,22.6,6.5,,6.2,,,,
,,,,,,,,,,,
Other Purposes,,,,,,,,,,,
,,,,,,,,,,,
H-->W,,,34.7,14.3,10.4,,40.6,,,,
W-->H,,,14.4,12.8,8.3,,64.5,,,,
,,,,,,,,,,,
Shop,,,,,,,,,,,
,,,,,,,,,,,
W-->H,,,3.2,9.4,34.3,,53.1,,,,
,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,,,
,,,,,,,,,,,
Data Source: 1987-88 Metr. Wash. Council of Govts.,,,,,,,,,,,
,,,,,,,,,,,
,,Table 5: Percentage of Commuting Trips by ratio of,,,,,,,,,
,,,Travel Time from Home to Intermediary Stop,,,,,,,,
,,,to Total Travel Time  (in minutes),,,,,,,,
,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,,,
,,,        Travel Time ratio,,,,,,,,
Trip Purpose,,,0-.25,.26-.50,.51-.75,,>.75,,,,
-,-,-,-,-,-,-,-,-,,,
,,,,,,,,,,,
Serve Passenger,,,,,,,,,,,
,,,,,,,,,,,
H-->W,,,34.4,37.5,18.2,,9.9,,,,
W-->H,,,33.8,39.4,20.3,,6.6,,,,
,,,,,,,,,,,
Other Purposes,,,,,,,,,,,
,,,,,,,,,,,
H-->W,,,27.7,37.3,23.4,,11.6,,,,
W-->H,,,17.4,43,29.8,,9.7,,,,
,,,,,,,,,,,
Shop,,,,,,,,,,,
,,,,,,,,,,,
W-->H,,,8.2,45.3,29.7,,16.8,,,,
,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,,,
,,,,,,,,,,,
